size;n;k;comp;swaps
select;5700;5700-1;13212;37029
select;5700;5700-1;
select;5700;5700-1;
select;5700;5700-1;12780;36441
select;5700;5700-1;14359;39525
select;5700;5700-1;14231;39206
select;5700;5700-1;13337;37134
select;5700;5700-1;13498;37955
select;5700;5700-1;
select;5700;5700-1;
select;5700;5700-1;10925;30239
select;5700;5700-1;
select;5700;5700-1;
select;5700;5700-1;
select;5700;5700-1;13615;38489
select;5700;5700-1;14081;38877
select;5700;5700-1;13309;38136
select;5700;5700-1;13804;39434
select;5700;5700-1;12818;35447
select;5700;5700-1;
select;5700;5700-1;
select;5700;5700-1;
select;5700;5700-1;13523;37874
select;5700;5700-1;14054;39293
select;5700;5700-1;11036;31116
select;5700;5700-1;14108;39622
select;5800;0;14081;39595
select;5800;0;13863;38258
select;5800;0;14042;39188
select;5800;0;13691;37912
select;5800;0;13991;39466
select;5800;0;13669;38494
select;5800;0;13547;37846
select;5800;0;13956;38507
select;5800;0;13485;37713
select;5800;0;13439;37858
select;5800;0;13660;37829
select;5800;0;14056;39395
select;5800;0;13986;39314
select;5800;0;14007;39505
select;5800;0;13724;38507
select;5800;0;14317;39583
select;5800;0;14060;39125
select;5800;0;13229;36732
select;5800;0;13559;37965
select;5800;0;14192;39855
select;5800;0;13655;37990
select;5800;0;13794;38621
select;5800;0;14248;39923
select;5800;0;13839;38891
select;5800;0;14111;39574
select;5800;0;14129;39240
select;5800;0;13864;38605
select;5800;0;14139;39496
select;5800;0;14057;39688
select;5800;0;13912;39194
select;5800;0;13949;38530
select;5800;0;13972;38758
select;5800;0;14001;39274
select;5800;0;11783;32906
select;5800;0;14341;40156
select;5800;0;13999;39164
select;5800;0;13965;39371
select;5800;0;13588;38111
select;5800;0;13913;39160
select;5800;0;13640;38224
select;5800;0;13651;38657
select;5800;0;14273;39819
select;5800;0;13565;37794
select;5800;0;13829;39365
select;5800;0;14079;39540
select;5800;0;13830;38838
select;5800;0;14133;39513
select;5800;0;14022;39803
select;5800;0;13904;38991
select;5800;0;14011;38648
select;5800;0;14443;39892
select;5800;0;13807;38458
select;5800;0;14202;39711
select;5800;0;14419;39895
select;5800;0;13846;38918
select;5800;0;14160;39745
select;5800;0;13159;36971
select;5800;0;13572;37839
select;5800;0;14023;39150
select;5800;0;14313;39861
select;5800;0;13360;37557
select;5800;0;13729;38917
select;5800;0;14017;39503
select;5800;0;13651;37971
select;5800;0;13554;38119
select;5800;0;13594;38022
select;5800;0;13899;38768
select;5800;0;14355;40035
select;5800;0;13933;39153
select;5800;0;13910;38883
select;5800;0;14067;39467
select;5800;0;13942;39020
select;5800;0;13923;38584
select;5800;0;13975;39375
select;5800;0;13995;38661
select;5800;0;13916;39084
select;5800;0;13069;36480
select;5800;0;13346;37379
select;5800;0;13819;38437
select;5800;0;14200;39900
select;5800;0;13785;38926
select;5800;0;13820;39273
select;5800;0;14298;39803
select;5800;0;14140;39765
select;5800;0;13067;36776
select;5800;0;14479;40255
select;5800;0;14184;39698
select;5800;0;13983;39391
select;5800;0;14031;39147
select;5800;0;14361;39873
select;5800;0;13842;38652
select;5800;0;13935;39424
select;5800;0;13831;39185
select;5800;0;13661;38426
select;5800;0;14115;39192
select;5800;0;14263;39548
select;5800;0;14121;39610
select;5800;0;14130;39369
select;5800;0;13412;37302
select;5800;0;13752;38756
select;5800;5800/4;12670;35425
select;5800;5800/4;14360;40448
select;5800;5800/4;14409;39459
select;5800;5800/4;
select;5800;5800/4;13916;40001
select;5800;5800/4;14298;39915
select;5800;5800/4;12428;33931
select;5800;5800/4;14012;38989
select;5800;5800/4;
select;5800;5800/4;14003;38890
select;5800;5800/4;
select;5800;5800/4;13813;39199
select;5800;5800/4;
select;5800;5800/4;12850;36291
select;5800;5800/4;
select;5800;5800/4;13801;38873
select;5800;5800/4;14440;39988
select;5800;5800/4;
select;5800;5800/4;13945;39048
select;5800;5800/4;13934;39386
select;5800;5800/4;14538;40173
select;5800;5800/4;12768;36700
select;5800;5800/4;
select;5800;5800/4;
select;5800;5800/4;13178;37880
select;5800;5800/4;14682;40338
select;5800;5800/4;14406;40531
select;5800;5800/4;13806;39048
select;5800;5800/4;
select;5800;5800/4;13533;39022
select;5800;5800/4;13185;36844
select;5800;5800/4;14537;40483
select;5800;5800/4;
select;5800;5800/4;14384;39542
select;5800;5800/4;
select;5800;5800/4;
select;5800;5800/4;11901;33669
select;5800;5800/4;14233;39720
select;5800;5800/4;13317;37976
select;5800;5800/4;14156;39593
select;5800;5800/4;
select;5800;5800/4;14161;39685
select;5800;5800/4;13207;37154
select;5800;5800/4;13511;37687
select;5800;5800/4;
select;5800;5800/4;12253;33920
select;5800;5800/4;12813;36524
select;5800;5800/4;
select;5800;5800/4;14562;40480
select;5800;5800/4;
select;5800;5800/4;
select;5800;5800/4;
select;5800;5800/4;13662;37708
select;5800;5800/4;13821;39480
select;5800;5800/4;12868;35835
select;5800;5800/4;14189;39656
select;5800;5800/4;13249;38057
select;5800;5800/4;
select;5800;5800/4;
select;5800;5800/4;12449;35768
select;5800;5800/4;14151;39168
select;5800;5800/4;14092;39431
select;5800;5800/4;13914;38746
select;5800;5800/4;13330;38320
select;5800;5800/4;11605;31471
select;5800;5800/4;
select;5800;5800/4;13391;37957
select;5800;5800/4;14221;39371
select;5800;5800/4;
select;5800;5800/4;
select;5800;5800/4;
select;5800;5800/4;14311;39787
select;5800;5800/4;13891;38897
select;5800;5800/4;
select;5800;5800/4;14362;39824
select;5800;5800/4;14088;38808
select;5800;5800/4;14041;38560
select;5800;5800/4;12305;34107
select;5800;5800/4;13461;37807
select;5800;5800/4;13761;39308
select;5800;5800/4;14190;39533
select;5800;5800/4;14188;39792
select;5800;5800/4;13830;39459
select;5800;5800/4;13797;37743
select;5800;5800/4;14241;39699
select;5800;5800/4;
select;5800;5800/4;13477;38624
select;5800;5800/4;
select;5800;5800/4;
select;5800;5800/4;13907;39016
select;5800;5800/4;
select;5800;5800/4;
select;5800;5800/4;13916;38798
select;5800;5800/4;
select;5800;5800/4;13920;39136
select;5800;5800/4;11682;31514
select;5800;5800/4;14257;39829
select;5800;5800/4;13511;37458
select;5800;5800/4;13849;39718
select;5800;5800/4;
select;5800;5800/2;13018;37631
select;5800;5800/2;13985;38819
select;5800;5800/2;12698;35337
select;5800;5800/2;14181;39728
select;5800;5800/2;14475;39847
select;5800;5800/2;13793;39033
select;5800;5800/2;
select;5800;5800/2;
select;5800;5800/2;
select;5800;5800/2;
select;5800;5800/2;13650;38597
select;5800;5800/2;14192;39279
select;5800;5800/2;13441;38337
select;5800;5800/2;
select;5800;5800/2;13997;39717
select;5800;5800/2;13496;38935
select;5800;5800/2;14822;40461
select;5800;5800/2;13178;37620
select;5800;5800/2;14486;40448
select;5800;5800/2;
select;5800;5800/2;13969;38488
select;5800;5800/2;
select;5800;5800/2;13858;38898
select;5800;5800/2;13305;38053
select;5800;5800/2;13695;38917
select;5800;5800/2;14251;39436
select;5800;5800/2;14182;39544
select;5800;5800/2;12957;36365
select;5800;5800/2;
select;5800;5800/2;
select;5800;5800/2;13528;37792
select;5800;5800/2;14028;39498
select;5800;5800/2;
select;5800;5800/2;
select;5800;5800/2;13832;39004
select;5800;5800/2;13559;38718
select;5800;5800/2;
select;5800;5800/2;13639;37811
select;5800;5800/2;13932;38959
select;5800;5800/2;13742;39067
select;5800;5800/2;14417;40068
select;5800;5800/2;
select;5800;5800/2;13962;38715
select;5800;5800/2;
select;5800;5800/2;14667;40700
select;5800;5800/2;14301;40074
select;5800;5800/2;12480;35206
select;5800;5800/2;12041;33208
select;5800;5800/2;
select;5800;5800/2;13946;39276
select;5800;5800/2;12532;34519
select;5800;5800/2;13016;37051
select;5800;5800/2;13488;38026
select;5800;5800/2;14091;39606
select;5800;5800/2;14360;39337
select;5800;5800/2;14332;40375
select;5800;5800/2;13966;38532
select;5800;5800/2;14442;39905
select;5800;5800/2;
select;5800;5800/2;13899;39805
select;5800;5800/2;13745;39162
select;5800;5800/2;14136;39441
select;5800;5800/2;14183;39881
select;5800;5800/2;
select;5800;5800/2;14346;39186
select;5800;5800/2;14092;39453
select;5800;5800/2;
select;5800;5800/2;14233;39267
select;5800;5800/2;12385;34337
select;5800;5800/2;13364;38280
select;5800;5800/2;13698;38485
select;5800;5800/2;
select;5800;5800/2;14069;38993
select;5800;5800/2;14039;38997
select;5800;5800/2;13554;39029
select;5800;5800/2;11013;31054
select;5800;5800/2;13235;37267
select;5800;5800/2;14516;39852
select;5800;5800/2;13692;38947
select;5800;5800/2;13430;38156
select;5800;5800/2;14423;40391
select;5800;5800/2;
select;5800;5800/2;
select;5800;5800/2;14025;39183
select;5800;5800/2;14401;40123
select;5800;5800/2;13278;37931
select;5800;5800/2;13885;39059
select;5800;5800/2;14383;39950
select;5800;5800/2;13366;36604
select;5800;5800/2;14064;39838
select;5800;5800/2;13496;37582
select;5800;5800/2;
select;5800;5800/2;13517;37553
select;5800;5800/2;14203;39606
select;5800;5800/2;13843;39413
select;5800;5800/2;
select;5800;5800/2;
select;5800;5800/2;13741;39141
select;5800;5800/2;
select;5800;5800/2;14127;39377
select;5800;5800-1;
select;5800;5800-1;13858;38522
select;5800;5800-1;13964;39589
select;5800;5800-1;13981;40057
select;5800;5800-1;12947;37467
select;5800;5800-1;
select;5800;5800-1;13786;38456
select;5800;5800-1;13760;39822
select;5800;5800-1;
select;5800;5800-1;14116;39822
select;5800;5800-1;
select;5800;5800-1;
select;5800;5800-1;
select;5800;5800-1;13790;39470
select;5800;5800-1;10990;30029
select;5800;5800-1;14278;39993
select;5800;5800-1;
select;5800;5800-1;14266;39468
select;5800;5800-1;
select;5800;5800-1;13892;38625
select;5800;5800-1;14330;40093
select;5800;5800-1;13896;38663
select;5800;5800-1;14165;40092
select;5800;5800-1;13478;37021
select;5800;5800-1;14108;39549
select;5800;5800-1;13869;39025
select;5800;5800-1;14247;39870
select;5800;5800-1;
select;5800;5800-1;13915;38930
select;5800;5800-1;13454;37767
select;5800;5800-1;
select;5800;5800-1;14055;39647
select;5800;5800-1;11061;31544
select;5800;5800-1;13341;37803
select;5800;5800-1;14648;40031
select;5800;5800-1;14176;39741
select;5800;5800-1;13987;39356
select;5800;5800-1;13200;37668
select;5800;5800-1;
select;5800;5800-1;13557;39202
select;5800;5800-1;13628;37816
select;5800;5800-1;13204;36612
select;5800;5800-1;
select;5800;5800-1;14065;39842
select;5800;5800-1;13944;39463
select;5800;5800-1;13582;38764
select;5800;5800-1;
select;5800;5800-1;14402;39610
select;5800;5800-1;
select;5800;5800-1;13758;38065
select;5800;5800-1;13807;38412
select;5800;5800-1;14164;40527
select;5800;5800-1;14124;39318
select;5800;5800-1;13532;38357
select;5800;5800-1;13648;38495
select;5800;5800-1;
select;5800;5800-1;14383;39669
select;5800;5800-1;
select;5800;5800-1;14508;40568
select;5800;5800-1;14476;40414
select;5800;5800-1;13961;39090
select;5800;5800-1;14003;39153
select;5800;5800-1;14616;40037
select;5800;5800-1;14063;39591
select;5800;5800-1;14483;39771
select;5800;5800-1;14023;38334
select;5800;5800-1;
select;5800;5800-1;12999;35461
select;5800;5800-1;13793;39483
select;5800;5800-1;12232;34130
select;5800;5800-1;
select;5800;5800-1;14174;39904
select;5800;5800-1;14306;39767
select;5800;5800-1;
select;5800;5800-1;13810;38315
select;5800;5800-1;
select;5800;5800-1;14080;39999
select;5800;5800-1;14399;39600
select;5800;5800-1;13810;39493
select;5800;5800-1;
select;5800;5800-1;14611;40739
select;5800;5800-1;
select;5800;5800-1;13508;38086
select;5800;5800-1;
select;5800;5800-1;14134;39084
select;5800;5800-1;13805;38801
select;5800;5800-1;
select;5800;5800-1;13758;39498
select;5800;5800-1;
select;5800;5800-1;14169;39400
select;5800;5800-1;
select;5800;5800-1;14085;38969
select;5800;5800-1;
select;5800;5800-1;13713;37556
select;5800;5800-1;13576;38776
select;5800;5800-1;13731;39181
select;5800;5800-1;
select;5800;5800-1;
select;5800;5800-1;
select;5800;5800-1;
select;5900;0;13945;39241
select;5900;0;13853;39121
select;5900;0;13819;38920
select;5900;0;13498;37323
select;5900;0;14446;40572
select;5900;0;13909;39109
select;5900;0;14331;40360
select;5900;0;14697;40596
select;5900;0;14009;38953
select;5900;0;14338;40002
select;5900;0;13960;38909
select;5900;0;14288;40006
select;5900;0;14218;39777
select;5900;0;13837;38404
select;5900;0;14315;39887
select;5900;0;14193;39867
select;5900;0;14166;39797
select;5900;0;13833;38762
select;5900;0;13999;39634
select;5900;0;14089;39723
select;5900;0;13966;39196
select;5900;0;14243;39756
select;5900;0;14319;40216
select;5900;0;14221;39524
select;5900;0;14605;40973
select;5900;0;14531;40016
select;5900;0;14251;39925
select;5900;0;13965;39265
select;5900;0;11930;32942
select;5900;0;14182;39628
select;5900;0;13282;36542
select;5900;0;13295;37198
select;5900;0;14181;39752
select;5900;0;13680;37903
select;5900;0;14453;40143
select;5900;0;14269;39967
select;5900;0;14616;40946
select;5900;0;13848;38632
select;5900;0;13686;38205
select;5900;0;14436;40166
select;5900;0;14125;39820
select;5900;0;14209;39710
select;5900;0;13915;38983
select;5900;0;13950;39646
select;5900;0;13130;36432
select;5900;0;14325;39885
select;5900;0;14186;39828
select;5900;0;14307;39903
select;5900;0;14447;40251
select;5900;0;14483;40250
select;5900;0;11737;32726
select;5900;0;14237;39654
select;5900;0;14295;40034
select;5900;0;13888;39085
select;5900;0;14457;40669
select;5900;0;14070;39271
select;5900;0;13240;37411
select;5900;0;14168;39596
select;5900;0;14341;40393
select;5900;0;13866;38910
select;5900;0;14074;39602
select;5900;0;14543;40514
select;5900;0;14006;39236
select;5900;0;14025;39137
select;5900;0;13755;38727
select;5900;0;14087;39482
select;5900;0;14149;39815
select;5900;0;14187;39289
select;5900;0;14202;39794
select;5900;0;14389;40388
select;5900;0;13972;39249
select;5900;0;14397;40343
select;5900;0;14345;40261
select;5900;0;14288;40030
select;5900;0;14355;40142
select;5900;0;13995;39560
select;5900;0;14239;39742
select;5900;0;12153;33900
select;5900;0;14261;39761
select;5900;0;14308;39515
select;5900;0;14058;39177
select;5900;0;14421;40059
select;5900;0;14169;39301
select;5900;0;14295;39967
select;5900;0;14388;40415
select;5900;0;13326;37507
select;5900;0;13995;39266
select;5900;0;14207;39730
select;5900;0;13965;38734
select;5900;0;12959;35963
select;5900;0;13255;36992
select;5900;0;13843;39137
select;5900;0;14468;40439
select;5900;0;13717;38468
select;5900;0;13802;38860
select;5900;0;14451;40159
select;5900;0;14111;39650
select;5900;0;13611;37613
select;5900;0;14312;40356
select;5900;0;14227;39698
select;5900;5900/4;13162;37015
select;5900;5900/4;
select;5900;5900/4;12113;33247
select;5900;5900/4;14009;39945
select;5900;5900/4;14057;39965
select;5900;5900/4;14334;39922
select;5900;5900/4;14085;39085
select;5900;5900/4;14391;39887
select;5900;5900/4;
select;5900;5900/4;13767;39443
select;5900;5900/4;
select;5900;5900/4;14354;40688
select;5900;5900/4;14293;39927
select;5900;5900/4;13232;36914
select;5900;5900/4;
select;5900;5900/4;14392;40761
select;5900;5900/4;14027;39151
select;5900;5900/4;14388;39873
select;5900;5900/4;
select;5900;5900/4;
select;5900;5900/4;14221;40037
select;5900;5900/4;
select;5900;5900/4;
select;5900;5900/4;13732;39530
select;5900;5900/4;14887;40720
select;5900;5900/4;14430;40406
select;5900;5900/4;14396;40776
select;5900;5900/4;14155;39914
select;5900;5900/4;14369;40389
select;5900;5900/4;13745;38658
select;5900;5900/4;13943;39712
select;5900;5900/4;
select;5900;5900/4;14607;40567
select;5900;5900/4;13575;39061
select;5900;5900/4;13941;40071
select;5900;5900/4;14946;41397
select;5900;5900/4;12770;36270
select;5900;5900/4;13964;39941
select;5900;5900/4;14024;40074
select;5900;5900/4;13202;37611
select;5900;5900/4;
select;5900;5900/4;14557;40834
select;5900;5900/4;
select;5900;5900/4;14519;39830
select;5900;5900/4;
select;5900;5900/4;
select;5900;5900/4;13775;39692
select;5900;5900/4;13620;38136
select;5900;5900/4;14307;39893
select;5900;5900/4;
select;5900;5900/4;
select;5900;5900/4;
select;5900;5900/4;14178;39828
select;5900;5900/4;14200;40343
select;5900;5900/4;13844;39399
select;5900;5900/4;14266;39683
select;5900;5900/4;13998;40331
select;5900;5900/4;14749;40585
select;5900;5900/4;14550;40001
select;5900;5900/4;
select;5900;5900/4;13962;39189
select;5900;5900/4;14572;40269
select;5900;5900/4;
select;5900;5900/4;14450;40648
select;5900;5900/4;
select;5900;5900/4;13820;39763
select;5900;5900/4;14231;39949
select;5900;5900/4;
select;5900;5900/4;
select;5900;5900/4;
select;5900;5900/4;
select;5900;5900/4;
select;5900;5900/4;13814;38339
select;5900;5900/4;
select;5900;5900/4;
select;5900;5900/4;14632;40990
select;5900;5900/4;14110;39686
select;5900;5900/4;
select;5900;5900/4;13880;39204
select;5900;5900/4;14092;39610
select;5900;5900/4;14396;40066
select;5900;5900/4;14710;40571
select;5900;5900/4;13969;39754
select;5900;5900/4;14352;40299
select;5900;5900/4;14278;39301
select;5900;5900/4;14446;40039
select;5900;5900/4;14605;40222
select;5900;5900/4;13866;40261
select;5900;5900/4;14684;40723
select;5900;5900/4;13798;39709
select;5900;5900/4;14297;39151
select;5900;5900/4;14374;39963
select;5900;5900/4;14207;40464
select;5900;5900/4;14433;39545
select;5900;5900/4;14834;41116
select;5900;5900/4;14728;40529
select;5900;5900/4;14437;39674
select;5900;5900/4;14398;40202
select;5900;5900/4;14196;40324
select;5900;5900/4;14520;40465
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;13644;38366
select;5900;5900/2;14198;39931
select;5900;5900/2;14221;39050
select;5900;5900/2;14544;39974
select;5900;5900/2;14378;39804
select;5900;5900/2;14200;39120
select;5900;5900/2;
select;5900;5900/2;14674;40378
select;5900;5900/2;14302;39931
select;5900;5900/2;14318;40047
select;5900;5900/2;14421;40114
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;13995;39443
select;5900;5900/2;13881;39889
select;5900;5900/2;12927;36398
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;13781;39151
select;5900;5900/2;
select;5900;5900/2;14161;40023
select;5900;5900/2;14160;39669
select;5900;5900/2;
select;5900;5900/2;13796;38885
select;5900;5900/2;14108;39508
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;14766;40638
select;5900;5900/2;13932;39351
select;5900;5900/2;14148;40058
select;5900;5900/2;13876;39230
select;5900;5900/2;14077;40758
select;5900;5900/2;14415;39767
select;5900;5900/2;14900;41064
select;5900;5900/2;13113;37452
select;5900;5900/2;13878;38892
select;5900;5900/2;14574;40452
select;5900;5900/2;12955;36131
select;5900;5900/2;13750;38676
select;5900;5900/2;
select;5900;5900/2;14600;40791
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;13824;39386
select;5900;5900/2;13743;39282
select;5900;5900/2;
select;5900;5900/2;14179;39080
select;5900;5900/2;14457;40370
select;5900;5900/2;14659;40534
select;5900;5900/2;14117;39610
select;5900;5900/2;14545;40163
select;5900;5900/2;14499;40488
select;5900;5900/2;14203;39862
select;5900;5900/2;15077;41274
select;5900;5900/2;13242;38004
select;5900;5900/2;14387;40577
select;5900;5900/2;14683;40845
select;5900;5900/2;13926;39349
select;5900;5900/2;14556;40843
select;5900;5900/2;14391;40651
select;5900;5900/2;14618;40235
select;5900;5900/2;14736;40971
select;5900;5900/2;13669;38760
select;5900;5900/2;14217;40178
select;5900;5900/2;
select;5900;5900/2;14276;39783
select;5900;5900/2;
select;5900;5900/2;15104;41790
select;5900;5900/2;14918;41116
select;5900;5900/2;14237;39044
select;5900;5900/2;13379;36838
select;5900;5900/2;14775;40678
select;5900;5900/2;14248;40663
select;5900;5900/2;
select;5900;5900/2;14661;41252
select;5900;5900/2;14280;39622
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;13751;38802
select;5900;5900/2;
select;5900;5900/2;14284;40438
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;14440;40440
select;5900;5900/2;14420;40289
select;5900;5900/2;13783;38323
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;
select;5900;5900/2;13995;39297
select;5900;5900/2;14339;39393
select;5900;5900/2;13804;39164
select;5900;5900/2;14086;39015
select;5900;5900/2;14858;41243
select;5900;5900/2;14408;39974
select;5900;5900-1;13796;38523
select;5900;5900-1;14645;40237
select;5900;5900-1;
select;5900;5900-1;
select;5900;5900-1;
select;5900;5900-1;14561;40341
select;5900;5900-1;13490;38449
select;5900;5900-1;14361;39679
select;5900;5900-1;
select;5900;5900-1;14677;40389
select;5900;5900-1;14789;40079
select;5900;5900-1;12971;36421
select;5900;5900-1;
select;5900;5900-1;12031;33474
select;5900;5900-1;14426;39707
select;5900;5900-1;
select;5900;5900-1;14608;40757
select;5900;5900-1;14197;39722
select;5900;5900-1;14101;40086
select;5900;5900-1;
select;5900;5900-1;14291;39704
select;5900;5900-1;14328;39861
select;5900;5900-1;
select;5900;5900-1;14770;41400
select;5900;5900-1;15048;41545
select;5900;5900-1;14457;40244
select;5900;5900-1;14597;40744
select;5900;5900-1;14028;39351
select;5900;5900-1;
select;5900;5900-1;14279;40184
select;5900;5900-1;
select;5900;5900-1;14334;40360
select;5900;5900-1;13981;39910
select;5900;5900-1;13851;39454
select;5900;5900-1;14830;41007
select;5900;5900-1;
select;5900;5900-1;14798;41365
select;5900;5900-1;14067;39642
select;5900;5900-1;14282;40440
select;5900;5900-1;14232;40440
select;5900;5900-1;
select;5900;5900-1;12586;35101
select;5900;5900-1;
select;5900;5900-1;15019;41351
select;5900;5900-1;14899;40671
select;5900;5900-1;14522;40820
select;5900;5900-1;14479;40345
select;5900;5900-1;13943;39508
select;5900;5900-1;
select;5900;5900-1;14958;41416
select;5900;5900-1;14703;41005
select;5900;5900-1;
select;5900;5900-1;14072;40033
select;5900;5900-1;13673;39081
select;5900;5900-1;
select;5900;5900-1;14140;40210
select;5900;5900-1;14508;40411
select;5900;5900-1;13690;37084
select;5900;5900-1;
select;5900;5900-1;
select;5900;5900-1;14426;40557
select;5900;5900-1;14258;40192
select;5900;5900-1;14114;39299
select;5900;5900-1;
select;5900;5900-1;14136;38803
select;5900;5900-1;13693;39543
select;5900;5900-1;14449;40280
select;5900;5900-1;14100;39732
select;5900;5900-1;14582;40487
select;5900;5900-1;14064;40231
select;5900;5900-1;
select;5900;5900-1;14687;40237
select;5900;5900-1;13783;38300
select;5900;5900-1;
select;5900;5900-1;14109;39639
select;5900;5900-1;14278;39527
select;5900;5900-1;14343;39952
select;5900;5900-1;14410;39841
select;5900;5900-1;14622;40986
select;5900;5900-1;14558;40510
select;5900;5900-1;14043;40049
select;5900;5900-1;12948;36641
select;5900;5900-1;12267;34699
select;5900;5900-1;
select;5900;5900-1;14105;39590
select;5900;5900-1;14150;40149
select;5900;5900-1;14770;40968
select;5900;5900-1;14272;39680
select;5900;5900-1;
select;5900;5900-1;14902;40959
select;5900;5900-1;13469;38050
select;5900;5900-1;
select;5900;5900-1;
select;5900;5900-1;14499;40176
select;5900;5900-1;
select;5900;5900-1;
select;5900;5900-1;14524;40914
select;5900;5900-1;14208;39080
select;5900;5900-1;
select;5900;5900-1;14232;39861
select;6000;0;14461;40625
select;6000;0;14271;40157
select;6000;0;14768;41612
select;6000;0;14726;41424
select;6000;0;14444;40927
select;6000;0;14285;39749
select;6000;0;14611;40874
select;6000;0;14572;40633
select;6000;0;14040;39287
select;6000;0;14243;40798
select;6000;0;14669;40710
select;6000;0;14799;41180
select;6000;0;14229;39807
select;6000;0;14395;40131
select;6000;0;14574;41151
select;6000;0;12586;34783
select;6000;0;14433;40296
select;6000;0;14537;40731
select;6000;0;14113;39702
select;6000;0;14476;40588
select;6000;0;14754;40489
select;6000;0;14444;40193
select;6000;0;14422;40527
select;6000;0;14439;40453
select;6000;0;14240;39172
select;6000;0;14291;40136
select;6000;0;14639;40811
select;6000;0;14768;41538
select;6000;0;14998;41827
select;6000;0;14589;40706
select;6000;0;14301;40079
select;6000;0;14635;40788
select;6000;0;14628;41068
select;6000;0;12428;34454
select;6000;0;14209;39827
select;6000;0;14166;39747
select;6000;0;14657;40883
select;6000;0;14230;39512
select;6000;0;14629;41230
select;6000;0;14486;40686
select;6000;0;14517;40301
select;6000;0;14784;41142
select;6000;0;14220;39965
select;6000;0;13977;38803
select;6000;0;14245;40184
select;6000;0;13653;38080
select;6000;0;13597;37383
select;6000;0;14783;41629
select;6000;0;14344;39626
select;6000;0;14813;41324
select;6000;0;14320;39970
select;6000;0;14535;40352
select;6000;0;14511;40430
select;6000;0;14115;40014
select;6000;0;13969;39671
select;6000;0;14235;40009
select;6000;0;14908;41046
select;6000;0;14316;40004
select;6000;0;14599;41017
select;6000;0;14203;39773
select;6000;0;14813;41482
select;6000;0;13959;39080
select;6000;0;14320;40314
select;6000;0;14301;40145
select;6000;0;14124;39780
select;6000;0;14463;40541
select;6000;0;14377;40351
select;6000;0;14343;40356
select;6000;0;14431;40044
select;6000;0;14302;39858
select;6000;0;14962;41465
select;6000;0;14575;40718
select;6000;0;14838;41536
select;6000;0;12413;34898
select;6000;0;14065;39161
select;6000;0;14525;40400
select;6000;0;14925;41896
select;6000;0;14792;41159
select;6000;0;14392;40477
select;6000;0;14512;40856
select;6000;0;13878;38873
select;6000;0;14324;40188
select;6000;0;12387;34282
select;6000;0;14500;40234
select;6000;0;14354;40479
select;6000;0;14594;40852
select;6000;0;13585;37913
select;6000;0;14977;41577
select;6000;0;14165;39766
select;6000;0;14454;40680
select;6000;0;14401;40442
select;6000;0;12326;34559
select;6000;0;14100;39594
select;6000;0;14358;40486
select;6000;0;14563;40961
select;6000;0;14424;40300
select;6000;0;13935;38998
select;6000;0;14564;40669
select;6000;0;14391;40334
select;6000;0;14180;39585
select;6000;6000/4;13584;38418
select;6000;6000/4;14822;41429
select;6000;6000/4;13931;40187
select;6000;6000/4;14102;40287
select;6000;6000/4;14625;41001
select;6000;6000/4;
select;6000;6000/4;
select;6000;6000/4;14738;40840
select;6000;6000/4;14750;40852
select;6000;6000/4;15358;42688
select;6000;6000/4;15066;41793
select;6000;6000/4;14176;40659
select;6000;6000/4;13609;39741
select;6000;6000/4;13497;38259
select;6000;6000/4;
select;6000;6000/4;
select;6000;6000/4;
select;6000;6000/4;14186;40749
select;6000;6000/4;14549;40425
select;6000;6000/4;14582;41141
select;6000;6000/4;14111;40595
select;6000;6000/4;14923;41234
select;6000;6000/4;14113;39559
select;6000;6000/4;
select;6000;6000/4;13792;39068
select;6000;6000/4;14238;39964
select;6000;6000/4;
select;6000;6000/4;12323;33885
select;6000;6000/4;
select;6000;6000/4;
select;6000;6000/4;14293;39755
select;6000;6000/4;
select;6000;6000/4;15173;41776
select;6000;6000/4;14772;40876
select;6000;6000/4;14760;41275
select;6000;6000/4;
select;6000;6000/4;14224;39743
select;6000;6000/4;14873;41838
select;6000;6000/4;14221;39417
select;6000;6000/4;14725;41052
select;6000;6000/4;14470;41143
select;6000;6000/4;14685;41045
select;6000;6000/4;
select;6000;6000/4;14126;39710
select;6000;6000/4;14229;40106
select;6000;6000/4;14586;40562
select;6000;6000/4;14845;41267
select;6000;6000/4;13843;38224
select;6000;6000/4;15147;41923
select;6000;6000/4;15131;41457
select;6000;6000/4;13556;38474
select;6000;6000/4;14647;41375
select;6000;6000/4;11429;32962
select;6000;6000/4;13996;38733
select;6000;6000/4;
select;6000;6000/4;
select;6000;6000/4;14488;40623
select;6000;6000/4;15074;41463
select;6000;6000/4;14274;40406
select;6000;6000/4;13806;38992
select;6000;6000/4;13749;39262
select;6000;6000/4;14164;38798
select;6000;6000/4;14071;39654
select;6000;6000/4;14289;40039
select;6000;6000/4;14946;41986
select;6000;6000/4;
