size;n;k;comp;swaps
select;100;100/2;
select;100;100/2;125;375
select;100;100/2;160;496
select;100;100-1;168;534
select;100;100-1;166;527
select;100;100-1;
select;100;100-1;165;511
select;100;100-1;162;520
select;100;100-1;162;507
select;100;100-1;133;399
select;100;100-1;
select;100;100-1;158;459
select;100;100-1;153;502
select;100;100-1;140;446
select;100;100-1;
select;100;100-1;153;472
select;100;100-1;182;541
select;100;100-1;149;500
select;100;100-1;150;497
select;100;100-1;114;377
select;100;100-1;
select;100;100-1;151;442
select;100;100-1;158;491
select;100;100-1;172;506
select;100;100-1;147;434
select;100;100-1;168;546
select;100;100-1;132;432
select;100;100-1;183;576
select;100;100-1;
select;100;100-1;165;507
select;100;100-1;156;509
select;100;100-1;187;548
select;100;100-1;
select;100;100-1;168;545
select;100;100-1;158;526
select;100;100-1;
select;100;100-1;153;464
select;100;100-1;147;467
select;100;100-1;156;519
select;100;100-1;153;438
select;100;100-1;
select;100;100-1;
select;100;100-1;169;496
select;100;100-1;152;503
select;100;100-1;145;466
select;100;100-1;177;561
select;100;100-1;146;485
select;100;100-1;134;458
select;100;100-1;
select;100;100-1;
select;100;100-1;131;454
select;100;100-1;186;553
select;100;100-1;151;504
select;100;100-1;
select;100;100-1;157;524
select;100;100-1;176;534
select;100;100-1;165;519
select;100;100-1;162;493
select;100;100-1;164;523
select;100;100-1;149;519
select;100;100-1;
select;100;100-1;160;513
select;100;100-1;138;414
select;100;100-1;120;370
select;100;100-1;182;556
select;100;100-1;174;540
select;100;100-1;163;512
select;100;100-1;
select;100;100-1;192;551
select;100;100-1;
select;100;100-1;131;435
select;100;100-1;173;528
select;100;100-1;146;460
select;100;100-1;136;409
select;100;100-1;137;395
select;100;100-1;128;429
select;100;100-1;161;501
select;100;100-1;126;416
select;100;100-1;178;561
select;100;100-1;130;420
select;100;100-1;171;517
select;100;100-1;158;529
select;100;100-1;135;426
select;100;100-1;
select;100;100-1;158;458
select;100;100-1;136;422
select;100;100-1;
select;100;100-1;132;408
select;100;100-1;124;418
select;100;100-1;109;380
select;100;100-1;
select;100;100-1;168;500
select;100;100-1;146;504
select;100;100-1;143;480
select;100;100-1;167;503
select;100;100-1;161;470
select;100;100-1;
select;100;100-1;156;497
select;100;100-1;166;504
select;100;100-1;
select;100;100-1;
select;100;100-1;
select;100;100-1;177;542
select;200;0;318;971
select;200;0;416;1258
select;200;0;365;1151
select;200;0;327;973
select;200;0;406;1278
select;200;0;373;1077
select;200;0;378;1126
select;200;0;365;1158
select;200;0;389;1207
select;200;0;370;1135
