type;n;k;comp;swaps
select;100;100/2;203;417
select;100;100/2;220;432
select;100;100/2;246;461
select;100;100/2;
select;100;100/2;196;387
select;100;100/2;
select;100;100/2;
select;100;100-1;213;412
select;100;100-1;209;398
select;100;100-1;200;390
select;100;100-1;223;418
select;100;100-1;
select;100;100-1;206;415
select;100;100-1;
select;100;100-1;
select;100;100-1;241;452
select;100;100-1;
select;100;100-1;225;444
select;100;100-1;227;431
select;100;100-1;207;405
select;100;100-1;229;433
select;100;100-1;240;449
select;100;100-1;228;439
select;100;100-1;223;443
select;100;100-1;241;439
select;100;100-1;257;461
select;100;100-1;
select;100;100-1;231;422
select;100;100-1;204;399
select;100;100-1;202;382
select;100;100-1;190;387
select;100;100-1;204;386
select;100;100-1;245;452
select;100;100-1;202;399
select;100;100-1;214;395
select;100;100-1;
select;100;100-1;235;436
select;100;100-1;263;474
select;100;100-1;213;427
select;100;100-1;258;470
select;100;100-1;228;427
select;100;100-1;237;438
select;100;100-1;228;426
select;100;100-1;218;419
select;100;100-1;222;421
select;100;100-1;
select;100;100-1;201;391
select;100;100-1;248;457
select;100;100-1;239;452
select;100;100-1;195;389
select;100;100-1;239;444
select;100;100-1;217;425
select;100;100-1;
select;100;100-1;245;448
select;100;100-1;216;417
select;100;100-1;201;381
select;100;100-1;202;415
select;100;100-1;223;430
select;100;100-1;
select;100;100-1;210;405
select;100;100-1;251;473
select;100;100-1;
select;100;100-1;226;440
select;100;100-1;200;379
select;100;100-1;241;439
select;100;100-1;199;379
select;100;100-1;222;407
select;100;100-1;
select;100;100-1;208;406
select;100;100-1;210;391
select;100;100-1;202;416
select;100;100-1;238;437
select;100;100-1;247;451
select;100;100-1;
select;100;100-1;216;412
select;100;100-1;179;358
select;100;100-1;208;390
select;100;100-1;242;440
select;100;100-1;225;424
select;100;100-1;209;386
select;100;100-1;225;416
select;100;100-1;212;394
select;100;100-1;243;464
select;100;100-1;222;435
select;100;100-1;229;438
select;100;100-1;226;430
select;100;100-1;234;434
select;100;100-1;
select;100;100-1;
select;100;100-1;214;406
select;100;100-1;231;441
select;100;100-1;217;417
select;100;100-1;233;438
select;100;100-1;208;399
select;100;100-1;244;456
select;100;100-1;
select;100;100-1;174;376
select;100;100-1;257;463
select;100;100-1;208;412
select;100;100-1;226;433
select;100;100-1;194;372
select;100;100-1;208;405
select;100;100-1;221;434
select;100;100-1;262;469
select;100;100-1;206;409
select;100;100-1;249;464
select;100;100-1;
select;200;0;502;924
select;200;0;539;1017
select;200;0;528;997
select;200;0;492;953
select;200;0;482;840
select;200;0;529;987
select;200;0;523;998
select;200;0;468;863
select;200;0;478;943
select;200;0;516;964
select;200;0;492;894
select;200;0;489;934
select;200;0;549;1017
select;200;0;447;815
select;200;0;541;1035
select;200;0;486;910
select;200;0;498;941
select;200;0;521;1002
select;200;0;515;993
select;200;0;533;978
select;200;0;524;984
select;200;0;534;1021
select;200;0;514;958
select;200;0;536;1048
select;200;0;551;1030
select;200;0;458;887
select;200;0;475;897
select;200;0;547;1018
select;200;0;472;865
select;200;0;519;1005
select;200;0;500;956
select;200;0;559;1053
select;200;0;466;904
select;200;0;517;958
select;200;0;495;896
select;200;0;541;1013
select;200;0;459;869
select;200;0;528;966
select;200;0;466;835
select;200;0;523;992
select;200;0;547;1005
select;200;0;557;1052
select;200;0;519;1006
select;200;0;546;1007
select;200;0;518;1002
select;200;0;503;970
select;200;0;492;919
select;200;0;495;958
select;200;0;501;956
select;200;0;518;978
select;200;0;538;1002
select;200;0;582;1122
select;200;0;569;1079
select;200;0;511;948
select;200;0;499;931
select;200;0;507;945
select;200;0;492;938
select;200;0;508;967
select;200;0;508;949
select;200;0;537;1051
select;200;0;531;1024
select;200;0;541;1005
select;200;0;532;992
select;200;0;463;898
select;200;0;500;988
select;200;0;489;935
select;200;0;530;994
select;200;0;521;1000
select;200;0;548;1021
select;200;0;525;1000
select;200;0;519;988
select;200;0;500;931
select;200;0;521;987
select;200;0;509;973
select;200;0;510;984
select;200;0;575;1084
select;200;0;505;933
select;200;0;535;1032
select;200;0;525;970
select;200;0;531;1008
select;200;0;443;858
select;200;0;454;840
select;200;0;538;1023
select;200;0;450;799
select;200;0;484;922
select;200;0;515;972
select;200;0;566;1068
select;200;0;473;908
select;200;0;506;908
select;200;0;468;923
select;200;0;551;1013
select;200;0;452;822
select;200;0;548;1060
select;200;0;556;1011
select;200;0;491;933
select;200;0;539;979
select;200;0;487;874
select;200;0;588;1108
select;200;0;477;886
select;200;0;551;1047
select;200;200/4;465;887
select;200;200/4;
select;200;200/4;
select;200;200/4;502;921
select;200;200/4;
select;200;200/4;535;964
select;200;200/4;
select;200;200/4;482;928
select;200;200/4;502;929
select;200;200/4;439;858
select;200;200/4;459;875
select;200;200/4;413;791
select;200;200/4;455;845
select;200;200/4;533;974
select;200;200/4;440;816
select;200;200/4;
select;200;200/4;440;854
select;200;200/4;
select;200;200/4;468;909
select;200;200/4;473;894
select;200;200/4;553;1011
select;200;200/4;511;949
select;200;200/4;493;926
select;200;200/4;488;901
select;200;200/4;473;907
select;200;200/4;
select;200;200/4;
select;200;200/4;426;831
select;200;200/4;460;873
select;200;200/4;484;911
select;200;200/4;475;859
select;200;200/4;487;925
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;481;904
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;484;887
select;200;200/4;493;910
select;200;200/4;
select;200;200/4;465;845
select;200;200/4;452;847
select;200;200/4;453;872
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;448;848
select;200;200/4;453;861
select;200;200/4;
select;200;200/4;518;954
select;200;200/4;430;805
select;200;200/4;461;880
select;200;200/4;425;838
select;200;200/4;491;882
select;200;200/4;
select;200;200/4;508;912
select;200;200/4;483;914
select;200;200/4;517;949
select;200;200/4;486;902
select;200;200/4;
select;200;200/4;497;933
select;200;200/4;
select;200;200/4;488;933
select;200;200/4;516;965
select;200;200/4;509;924
select;200;200/4;529;970
select;200;200/4;
select;200;200/4;566;1002
select;200;200/4;
select;200;200/4;495;887
select;200;200/4;
select;200;200/4;508;957
select;200;200/4;480;884
select;200;200/4;451;855
select;200;200/4;445;870
select;200;200/4;472;883
select;200;200/4;437;862
select;200;200/4;506;944
select;200;200/4;
select;200;200/4;422;839
select;200;200/4;486;888
select;200;200/4;
select;200;200/4;
select;200;200/4;455;862
select;200;200/4;454;850
select;200;200/4;538;971
select;200;200/4;
select;200;200/4;479;895
select;200;200/4;483;932
select;200;200/4;430;824
select;200;200/4;469;875
select;200;200/4;516;969
select;200;200/4;443;867
select;200;200/4;499;940
select;200;200/4;476;892
select;200;200/4;425;804
select;200;200/4;
select;200;200/2;498;918
select;200;200/2;434;813
select;200;200/2;515;944
select;200;200/2;466;874
select;200;200/2;498;958
select;200;200/2;
select;200;200/2;517;963
select;200;200/2;442;867
select;200;200/2;
select;200;200/2;430;838
select;200;200/2;506;944
select;200;200/2;473;897
select;200;200/2;430;792
select;200;200/2;478;883
select;200;200/2;479;920
select;200;200/2;475;889
select;200;200/2;431;861
select;200;200/2;531;985
select;200;200/2;460;857
select;200;200/2;478;864
select;200;200/2;420;815
select;200;200/2;484;905
select;200;200/2;
select;200;200/2;499;930
select;200;200/2;511;969
select;200;200/2;502;940
select;200;200/2;468;858
select;200;200/2;466;912
select;200;200/2;
select;200;200/2;474;898
select;200;200/2;
select;200;200/2;485;921
select;200;200/2;507;904
select;200;200/2;498;920
select;200;200/2;
select;200;200/2;
select;200;200/2;525;951
select;200;200/2;
select;200;200/2;438;880
select;200;200/2;495;937
select;200;200/2;
select;200;200/2;
select;200;200/2;495;918
select;200;200/2;469;892
select;200;200/2;
select;200;200/2;548;993
select;200;200/2;
select;200;200/2;492;934
select;200;200/2;435;839
select;200;200/2;506;953
select;200;200/2;526;957
select;200;200/2;557;1014
select;200;200/2;505;941
select;200;200/2;569;1048
select;200;200/2;441;808
select;200;200/2;543;998
select;200;200/2;468;896
select;200;200/2;
select;200;200/2;417;778
select;200;200/2;525;914
select;200;200/2;
select;200;200/2;448;846
select;200;200/2;499;914
select;200;200/2;491;946
select;200;200/2;496;916
select;200;200/2;450;808
select;200;200/2;506;946
select;200;200/2;436;826
select;200;200/2;484;903
select;200;200/2;516;967
select;200;200/2;
select;200;200/2;
select;200;200/2;419;801
select;200;200/2;
select;200;200/2;
select;200;200/2;451;839
select;200;200/2;493;913
select;200;200/2;484;926
select;200;200/2;464;849
