type;n;k;comp;swaps
qselect: 201, total number of comparisons: 0, total number of swaps: 0
rselect: 22, total number of comparisons: 850, total number of swaps: 878
qselect: 1199, total number of comparisons: 0, total number of swaps: 0
rselect: 20, total number of comparisons: 565, total number of swaps: 583
qselect: 86, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 326, total number of swaps: 338
qselect: 643, total number of comparisons: 0, total number of swaps: 0
rselect: 18, total number of comparisons: 346, total number of swaps: 364
qselect: 417, total number of comparisons: 0, total number of swaps: 0
rselect: 12, total number of comparisons: 771, total number of swaps: 787
qselect: 611, total number of comparisons: 0, total number of swaps: 0
rselect: 28, total number of comparisons: 335, total number of swaps: 357
qselect: 690, total number of comparisons: 0, total number of swaps: 0
rselect: 22, total number of comparisons: 1389, total number of swaps: 1419
qselect: 731, total number of comparisons: 0, total number of swaps: 0
rselect: 17, total number of comparisons: 820, total number of swaps: 840
qselect: 899, total number of comparisons: 0, total number of swaps: 0
rselect: 23, total number of comparisons: 259, total number of swaps: 275
qselect: 488, total number of comparisons: 0, total number of swaps: 0
rselect: 18, total number of comparisons: 388, total number of swaps: 400
qselect: 36, total number of comparisons: 0, total number of swaps: 0
rselect: 18, total number of comparisons: 1416, total number of swaps: 1438
qselect: 712, total number of comparisons: 0, total number of swaps: 0
rselect: 31, total number of comparisons: 1409, total number of swaps: 1427
qselect: 777, total number of comparisons: 0, total number of swaps: 0
rselect: 21, total number of comparisons: 1485, total number of swaps: 1517
qselect: 274, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 99, total number of swaps: 105
qselect: 120, total number of comparisons: 0, total number of swaps: 0
rselect: 24, total number of comparisons: 1301, total number of swaps: 1323
qselect: 1236, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 1069, total number of swaps: 1089
qselect: 969, total number of comparisons: 0, total number of swaps: 0
rselect: 25, total number of comparisons: 1625, total number of swaps: 1643
qselect: 1050, total number of comparisons: 0, total number of swaps: 0
rselect: 12, total number of comparisons: 804, total number of swaps: 826
qselect: 69, total number of comparisons: 0, total number of swaps: 0
rselect: 24, total number of comparisons: 2199, total number of swaps: 2217
qselect: 780, total number of comparisons: 0, total number of swaps: 0
rselect: 26, total number of comparisons: 719, total number of swaps: 741
qselect: 1270, total number of comparisons: 0, total number of swaps: 0
rselect: 14, total number of comparisons: 1542, total number of swaps: 1562
qselect: 508, total number of comparisons: 0, total number of swaps: 0
rselect: 26, total number of comparisons: 757, total number of swaps: 783
qselect: 92, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 598, total number of swaps: 608
qselect: 1585, total number of comparisons: 0, total number of swaps: 0
rselect: 21, total number of comparisons: 463, total number of swaps: 483
qselect: 1254, total number of comparisons: 0, total number of swaps: 0
rselect: 16, total number of comparisons: 313, total number of swaps: 325
qselect: 382, total number of comparisons: 0, total number of swaps: 0
rselect: 24, total number of comparisons: 627, total number of swaps: 641
qselect: 697, total number of comparisons: 0, total number of swaps: 0
rselect: 16, total number of comparisons: 846, total number of swaps: 866
qselect: 706, total number of comparisons: 0, total number of swaps: 0
rselect: 22, total number of comparisons: 72, total number of swaps: 84
qselect: 139, total number of comparisons: 0, total number of swaps: 0
rselect: 24, total number of comparisons: 267, total number of swaps: 283
qselect: 82, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 2551, total number of swaps: 2573
qselect: 1092, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 585, total number of swaps: 597
qselect: 1788, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 2137, total number of swaps: 2157
qselect: 857, total number of comparisons: 0, total number of swaps: 0
rselect: 33, total number of comparisons: 1017, total number of swaps: 1027
qselect: 59, total number of comparisons: 0, total number of swaps: 0
rselect: 25, total number of comparisons: 1409, total number of swaps: 1433
qselect: 806, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 1084, total number of swaps: 1112
qselect: 1205, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 437, total number of swaps: 453
qselect: 418, total number of comparisons: 0, total number of swaps: 0
rselect: 28, total number of comparisons: 285, total number of swaps: 303
qselect: 1667, total number of comparisons: 0, total number of swaps: 0
rselect: 35, total number of comparisons: 1363, total number of swaps: 1379
qselect: 83, total number of comparisons: 0, total number of swaps: 0
rselect: 16, total number of comparisons: 1003, total number of swaps: 1029
qselect: 578, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 891, total number of swaps: 907
qselect: 588, total number of comparisons: 0, total number of swaps: 0
rselect: 16, total number of comparisons: 813, total number of swaps: 831
qselect: 48, total number of comparisons: 0, total number of swaps: 0
rselect: 21, total number of comparisons: 354, total number of swaps: 366
qselect: 783, total number of comparisons: 0, total number of swaps: 0
rselect: 28, total number of comparisons: 1503, total number of swaps: 1531
qselect: 1310, total number of comparisons: 0, total number of swaps: 0
rselect: 14, total number of comparisons: 1734, total number of swaps: 1754
qselect: 1206, total number of comparisons: 0, total number of swaps: 0
rselect: 30, total number of comparisons: 421, total number of swaps: 439
qselect: 1926, total number of comparisons: 0, total number of swaps: 0
rselect: 18, total number of comparisons: 2318, total number of swaps: 2340
qselect: 14, total number of comparisons: 0, total number of swaps: 0
rselect: 17, total number of comparisons: 599, total number of swaps: 619
qselect: 1294, total number of comparisons: 0, total number of swaps: 0
rselect: 16, total number of comparisons: 1767, total number of swaps: 1789
qselect: 720, total number of comparisons: 0, total number of swaps: 0
rselect: 24, total number of comparisons: 1684, total number of swaps: 1700
qselect: 301, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 664, total number of swaps: 686
qselect: 1757, total number of comparisons: 0, total number of swaps: 0
rselect: 21, total number of comparisons: 1154, total number of swaps: 1172
qselect: 1982, total number of comparisons: 0, total number of swaps: 0
rselect: 26, total number of comparisons: 2815, total number of swaps: 2839
qselect: 1528, total number of comparisons: 0, total number of swaps: 0
rselect: 20, total number of comparisons: 1726, total number of swaps: 1746
qselect: 1379, total number of comparisons: 0, total number of swaps: 0
rselect: 12, total number of comparisons: 1443, total number of swaps: 1471
qselect: 1557, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 923, total number of swaps: 937
qselect: 1414, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 1017, total number of swaps: 1045
qselect: 1414, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 926, total number of swaps: 950
qselect: 730, total number of comparisons: 0, total number of swaps: 0
rselect: 22, total number of comparisons: 445, total number of swaps: 461
qselect: 1561, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 1314, total number of swaps: 1332
qselect: 1562, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 1031, total number of swaps: 1049
qselect: 1964, total number of comparisons: 0, total number of swaps: 0
rselect: 23, total number of comparisons: 1452, total number of swaps: 1478
qselect: 1704, total number of comparisons: 0, total number of swaps: 0
rselect: 16, total number of comparisons: 922, total number of swaps: 950
qselect: 1437, total number of comparisons: 0, total number of swaps: 0
rselect: 21, total number of comparisons: 1963, total number of swaps: 1981
qselect: 248, total number of comparisons: 0, total number of swaps: 0
rselect: 20, total number of comparisons: 444, total number of swaps: 466
qselect: 802, total number of comparisons: 0, total number of swaps: 0
rselect: 26, total number of comparisons: 1710, total number of swaps: 1732
qselect: 1986, total number of comparisons: 0, total number of swaps: 0
rselect: 26, total number of comparisons: 1262, total number of swaps: 1280
qselect: 1324, total number of comparisons: 0, total number of swaps: 0
rselect: 9, total number of comparisons: 995, total number of swaps: 1011
qselect: 1222, total number of comparisons: 0, total number of swaps: 0
rselect: 25, total number of comparisons: 533, total number of swaps: 547
qselect: 807, total number of comparisons: 0, total number of swaps: 0
rselect: 26, total number of comparisons: 905, total number of swaps: 923
qselect: 956, total number of comparisons: 0, total number of swaps: 0
rselect: 13, total number of comparisons: 126, total number of swaps: 144
qselect: 1138, total number of comparisons: 0, total number of swaps: 0
rselect: 30, total number of comparisons: 1056, total number of swaps: 1064
qselect: 510, total number of comparisons: 0, total number of swaps: 0
rselect: 20, total number of comparisons: 378, total number of swaps: 398
qselect: 1485, total number of comparisons: 0, total number of swaps: 0
rselect: 18, total number of comparisons: 1465, total number of swaps: 1475
qselect: 74, total number of comparisons: 0, total number of swaps: 0
rselect: 25, total number of comparisons: 607, total number of swaps: 625
qselect: 1216, total number of comparisons: 0, total number of swaps: 0
rselect: 14, total number of comparisons: 2248, total number of swaps: 2282
qselect: 2005, total number of comparisons: 0, total number of swaps: 0
rselect: 15, total number of comparisons: 3883, total number of swaps: 3907
qselect: 1175, total number of comparisons: 0, total number of swaps: 0
rselect: 21, total number of comparisons: 1200, total number of swaps: 1218
qselect: 2531, total number of comparisons: 0, total number of swaps: 0
rselect: 24, total number of comparisons: 1044, total number of swaps: 1066
qselect: 1851, total number of comparisons: 0, total number of swaps: 0
rselect: 12, total number of comparisons: 275, total number of swaps: 287
qselect: 2318, total number of comparisons: 0, total number of swaps: 0
rselect: 20, total number of comparisons: 1171, total number of swaps: 1193
qselect: 1607, total number of comparisons: 0, total number of swaps: 0
rselect: 26, total number of comparisons: 429, total number of swaps: 449
qselect: 279, total number of comparisons: 0, total number of swaps: 0
rselect: 31, total number of comparisons: 1159, total number of swaps: 1175
qselect: 455, total number of comparisons: 0, total number of swaps: 0
rselect: 18, total number of comparisons: 147, total number of swaps: 157
qselect: 496, total number of comparisons: 0, total number of swaps: 0
rselect: 33, total number of comparisons: 1974, total number of swaps: 2000
qselect: 239, total number of comparisons: 0, total number of swaps: 0
rselect: 10, total number of comparisons: 1343, total number of swaps: 1359
qselect: 1334, total number of comparisons: 0, total number of swaps: 0
rselect: 17, total number of comparisons: 189, total number of swaps: 197
qselect: 60, total number of comparisons: 0, total number of swaps: 0
rselect: 14, total number of comparisons: 3169, total number of swaps: 3195
