type;n;k;comp;shifts
select;100;100/2;
select;100;100/2;
select;100;100/2;209;410
select;100;100/2;
select;100;100/2;214;421
select;100;100/2;233;441
select;100;100/2;
select;100;100/2;
select;100;100-1;208;411
select;100;100-1;210;401
select;100;100-1;206;404
select;100;100-1;232;441
select;100;100-1;227;438
select;100;100-1;223;416
select;100;100-1;239;453
select;100;100-1;216;418
select;100;100-1;250;474
select;100;100-1;211;412
select;100;100-1;252;474
select;100;100-1;
select;100;100-1;
select;100;100-1;217;407
select;100;100-1;
select;100;100-1;254;469
select;100;100-1;215;397
select;100;100-1;
select;100;100-1;
select;100;100-1;221;433
select;100;100-1;
select;100;100-1;193;387
select;100;100-1;218;426
select;100;100-1;207;400
select;100;100-1;
select;100;100-1;188;388
select;100;100-1;241;444
select;100;100-1;247;453
select;100;100-1;214;427
select;100;100-1;217;432
select;100;100-1;203;384
select;100;100-1;236;441
select;100;100-1;206;382
select;100;100-1;221;413
select;100;100-1;252;458
select;100;100-1;229;432
select;100;100-1;188;368
select;100;100-1;251;448
select;100;100-1;
select;100;100-1;234;436
select;100;100-1;213;412
select;100;100-1;
select;100;100-1;217;393
select;100;100-1;233;446
select;100;100-1;214;395
select;100;100-1;202;399
select;100;100-1;196;394
select;100;100-1;246;467
select;100;100-1;234;452
select;100;100-1;200;383
select;100;100-1;247;453
select;100;100-1;
select;100;100-1;
select;100;100-1;220;401
select;100;100-1;240;454
select;100;100-1;
select;100;100-1;239;451
select;100;100-1;218;416
select;100;100-1;218;417
select;100;100-1;197;392
select;100;100-1;179;378
select;100;100-1;198;393
select;100;100-1;181;359
select;100;100-1;206;415
select;100;100-1;209;390
select;100;100-1;237;434
select;100;100-1;
select;100;100-1;212;396
select;100;100-1;196;399
select;100;100-1;
select;100;100-1;196;395
select;100;100-1;210;404
select;100;100-1;224;430
select;100;100-1;
select;100;100-1;229;459
select;100;100-1;269;486
select;100;100-1;200;395
select;100;100-1;239;458
select;100;100-1;229;445
select;100;100-1;
select;100;100-1;203;399
select;100;100-1;213;423
select;100;100-1;225;409
select;100;100-1;
select;100;100-1;230;441
select;100;100-1;220;431
select;100;100-1;211;403
select;100;100-1;218;408
